CustID,OrderID,Date,amount
4,764,2009-06-12,1752362
4,765,2009-07-16,1748051
4,766,2009-07-21,957918
4,767,2009-08-24,1843265
4,768,2009-10-08,2034216
4,769,2009-11-08,1750042
4,770,2009-11-25,936539
4,771,2009-12-20,1598189
4,772,2010-01-29,1187870
4,773,2010-04-09,609850
4,774,2010-04-06,946565
4,775,2010-04-22,1780102
4,776,2010-05-17,1004273
4,777,2010-06-21,676141
4,778,2010-07-28,784041
4,779,2010-08-25,1658376
4,780,2010-11-05,706964
4,781,2010-10-21,1880187
4,782,2010-11-28,1495481
4,783,2011-01-08,580575
4,784,2011-02-04,1876043
4,785,2011-03-15,1640847
4,786,2011-04-06,1595413
4,787,2011-05-10,832731
4,788,2011-06-13,1744196
4,789,2011-07-28,569101
4,790,2011-08-11,1046334
4,791,2011-09-02,664806
4,792,2011-10-02,483228
4,793,2012-01-17,518957
4,794,2011-11-21,1839167
4,795,2012-02-20,638781
4,796,2012-04-08,870516
4,797,2012-04-15,1733440
4,798,2012-04-14,1691697
4,799,2012-06-15,920564
4,800,2012-07-07,950130
4,801,2012-08-27,555291
4,802,2012-10-07,1749900
4,803,2012-11-04,1192525
4,804,2012-10-15,1338514
4,805,2012-11-01,1590483
4,806,2012-12-21,1175175
4,807,2012-12-10,1510607
4,808,2013-02-16,1456381
4,809,2013-03-18,1837285
4,810,2013-04-21,872500
4,811,2013-05-15,972890
4,812,2013-05-30,1369640
4,813,2013-06-29,1190786
4,814,2013-08-21,733315
4,815,2013-10-12,1752137
4,816,2013-10-06,913973
4,817,2013-10-16,1971179
4,818,2013-12-07,1584941
4,819,2014-01-01,1206548
4,820,2014-02-01,1142522
4,821,2014-03-22,546621
4,822,2014-04-05,1766812
4,823,2014-05-03,838534
4,824,2014-06-05,1361351
4,825,2014-06-07,1189084
4,826,2014-07-16,942520
4,827,2014-09-07,655233
4,828,2014-10-02,1262554
4,829,2014-11-06,575682
4,830,2014-12-29,853454
4,831,2014-12-21,1543753
4,832,2015-01-28,541087
4,833,2015-03-05,828951
4,834,2015-04-16,1739334
4,835,2015-05-31,1043332
4,836,2015-05-27,1859071
4,837,2015-07-20,927303
4,838,2015-08-15,515168
4,839,2015-09-26,1588632
4,840,2015-10-05,592841
4,841,2015-12-14,717739
4,842,2015-12-24,1847662
4,843,2016-02-03,907319
4,844,2016-03-26,108961
4,845,2016-05-04,95634
4,846,2016-05-25,86483
4,847,2016-06-30,255914
4,848,2016-07-14,1490256
4,849,2016-09-02,967793
4,850,2016-10-12,635407
4,851,2016-11-13,1256182
4,852,2016-12-07,147225
4,853,2017-01-02,1066748
4,854,2017-02-09,445451
110,11879,2009-07-10,1911484
110,11880,2009-07-28,1882981
110,11881,2009-09-08,1238509
110,11882,2009-09-11,1851117
110,11883,2009-10-09,1261202
110,11884,2009-11-27,1580277
110,11885,2009-12-31,904754
110,11886,2010-01-24,1148397
110,11887,2010-02-23,1593878
110,11888,2010-03-06,898503
110,11889,2010-04-18,1325894
110,11890,2010-05-15,1846819
110,11891,2010-06-22,1079416
110,11892,2010-08-03,537839
110,11893,2010-08-10,1354356
110,11894,2010-10-02,1753226
110,11895,2010-10-28,870453
110,11896,2010-11-21,1880106
110,11897,2010-12-28,1431437
110,11898,2011-02-01,1169219
110,11899,2011-02-06,1757306
110,11900,2011-03-26,949344
110,11901,2011-04-28,1192876
110,11902,2011-06-10,1053188
110,11903,2011-06-23,1442132
110,11904,2011-07-21,807280
110,11905,2011-08-19,1056283
110,11906,2011-10-15,1176297
110,11907,2011-10-22,539650
110,11908,2011-11-30,686014
110,11909,2012-01-10,1740306
110,11910,2012-02-25,610100
110,11911,2012-03-18,1316239
110,11912,2012-04-12,1791411
110,11913,2012-04-16,1780698
110,11914,2012-05-28,978263
